Total Pink Salmon adult biomass																	Total Chum Salmon adult biomass																	Total Sockeye Salmon adult biomass																				
																																																			Supplementary Table 16. Adult biomass (catch and escapement in thousands of metric tons) of each species across the Pacific Rim 1952-2015.			
Supplementary Table 13. Biomass (catch and escapement in metric tons) of total Pink Salmon returning  to regions of Asia and North America 1952-2015.																	Supplementary Table 14. Biomass (catch and escapement in metric ton) of total  Chum Salmon returning to regions of Asia and North America 1952-2015.																	Supplementary Table 15. Biomass (catch and escapement in metric tons) of total  Sockeye Salmon returning  to regions of Asia and North America 1952-2015.																				
																																																						
Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WC	TOTAL		Pink	Chum	Sockeye	Total
2003.00	0.00	24855.00	191014.00	1130.00	87696.00	1009.00	23030.00	32390.00	2707.00	101897.00	153930.00	29037.00	37274.00	6058.00	692026.00		2003.00	134.00	276916.00	51768.00	7572.00	8743.00	24824.00	4663.00	4399.00	1656.00	18678.00	45634.00	21612.00	17978.00	9036.00	493612.00		2003.00	0.00	0.00	510.00	17697.00	7961.00	77376.00	5920.00	20659.00	20920.00	10481.00	5791.00	9960.00	18251.00	928.00	196454.00		692	494	196	"1,382"
2004.00	0.00	11963.00	87341.00	148709.00	33749.00	11664.00	27858.00	52266.00	13325.00	49978.00	140581.00	15084.00	3702.00	117.00	596337.00		2004.00	203.00	265900.00	58062.00	7561.00	6911.00	22256.00	6528.00	6581.00	3423.00	8397.00	57038.00	19171.00	34165.00	12765.00	508961.00		2004.00	0.00	0.00	278.00	20495.00	6573.00	123506.00	4550.00	15995.00	21390.00	7362.00	6721.00	7105.00	19193.00	1432.00	234600.00		596	509	235	"1,340"
2005.00	0.00	16095.00	208100.00	33544.00	122675.00	4029.00	26537.00	53874.00	10698.00	119390.00	173513.00	32300.00	47166.00	3864.00	851783.00		2005.00	87.00	244775.00	42796.00	11120.00	16775.00	38095.00	7932.00	2917.00	1992.00	8880.00	51572.00	12337.00	31087.00	5877.00	476244.00		2005.00	0.00	0.00	1940.00	26417.00	7885.00	121879.00	5787.00	12978.00	23402.00	8060.00	5104.00	5298.00	18911.00	519.00	238180.00		852	476	238	"1,566"
2006.00	0.00	8759.00	174491.00	92642.00	38555.00	6149.00	13471.00	62982.00	5056.00	43969.00	68244.00	5568.00	2230.00	0.00	522116.00		2006.00	64.00	230855.00	75453.00	18731.00	15941.00	31282.00	9687.00	6966.00	2007.00	9201.00	62898.00	13135.00	27877.00	12810.00	516907.00		2006.00	0.00	88.00	2186.00	25310.00	9231.00	113620.00	5850.00	6649.00	13861.00	7237.00	5377.00	9390.00	32199.00	1410.00	232409.00		522	517	232	"1,271"
2007.00	0.00	23424.00	266723.00	21451.00	136159.00	251.00	21645.00	42725.00	3086.00	105354.00	145220.00	21023.00	22165.00	5484.00	814710.00		2007.00	60.00	198084.00	75622.00	14761.00	15641.00	29413.00	8619.00	3300.00	1843.00	12408.00	43614.00	8509.00	19485.00	9594.00	440953.00		2007.00	0.00	0.00	1184.00	38794.00	10866.00	118717.00	5319.00	8746.00	16503.00	8510.00	6161.00	6960.00	4644.00	335.00	226739.00		815	441	227	"1,482"
2008.00	0.00	10981.00	167370.00	116819.00	17088.00	5916.00	30762.00	19505.00	1903.00	69864.00	66558.00	5371.00	1824.00	64.00	514025.00		2008.00	132.00	159617.00	87831.00	13098.00	16998.00	26519.00	7932.00	4024.00	1953.00	17405.00	41169.00	4484.00	16433.00	5858.00	403455.00		2008.00	0.00	55.00	1069.00	28087.00	10565.00	111719.00	3989.00	7224.00	13031.00	3327.00	2851.00	6901.00	5515.00	784.00	195116.00		514	403	195	"1,113"
2009.00	0.00	18128.00	340679.00	6835.00	261115.00	227.00	19012.00	45788.00	3752.00	33425.00	101132.00	34562.00	14519.00	16868.00	896042.00		2009.00	242.00	202710.00	140790.00	10830.00	15420.00	24020.00	10050.00	4292.00	2011.00	11522.00	36682.00	7060.00	18720.00	4068.00	488416.00		2009.00	0.00	0.00	967.00	22663.00	14850.00	118368.00	6070.00	7681.00	12950.00	4974.00	3779.00	4863.00	5113.00	383.00	202663.00		896	488	203	"1,587"
2010.00	0.00	13035.00	168862.00	166784.00	19648.00	7558.00	4335.00	21552.00	1044.00	125653.00	101771.00	11134.00	3498.00	93.00	644968.00		2010.00	225.00	158380.00	144535.00	17958.00	14645.00	29865.00	5138.00	3373.00	2478.00	14986.00	44270.00	4228.00	12448.00	5759.00	458288.00		2010.00	0.00	0.00	1185.00	22946.00	14231.00	109115.00	6438.00	6759.00	14671.00	7987.00	3206.00	4780.00	81835.00	1569.00	274722.00		645	458	275	"1,378"
2011.00	0.00	9015.00	244118.00	7024.00	261342.00	223.00	13780.00	26790.00	1071.00	60469.00	173729.00	8143.00	45389.00	10838.00	861931.00		2011.00	131.00	132679.00	102784.00	18852.00	12127.00	34121.00	7970.00	4352.00	2199.00	8352.00	44351.00	9329.00	32970.00	5942.00	416157.00		2011.00	0.00	0.00	1576.00	26174.00	12498.00	91533.00	11031.00	9154.00	25566.00	12244.00	4599.00	9268.00	16329.00	837.00	220809.00		862	416	221	"1,499"
2012.00	0.00	3629.00	183203.00	203523.00	29133.00	6167.00	2920.00	39599.00	2566.00	53764.00	79821.00	10548.00	4969.00	55.00	619897.00		2012.00	102.00	124028.00	119702.00	23026.00	16662.00	37333.00	4525.00	4141.00	2779.00	15680.00	58422.00	9631.00	19206.00	7121.00	442358.00		2012.00	0.00	0.00	1153.00	34015.00	15735.00	85307.00	8026.00	9540.00	18536.00	13076.00	4287.00	8681.00	6331.00	1776.00	206462.00		620	442	206	"1,269"
2013.00	0.00	6815.00	243928.00	2559.00	45484.00	217.00	15813.00	41910.00	5415.00	134118.00	231621.00	30220.00	34215.00	16285.00	808599.00		2013.00	98.00	155699.00	128298.00	19832.00	23371.00	36951.00	8363.00	4210.00	2273.00	14768.00	53145.00	9238.00	15715.00	9059.00	481021.00		2013.00	0.00	0.00	1309.00	36368.00	18953.00	74062.00	10530.00	10661.00	16776.00	9220.00	4185.00	4055.00	10995.00	1151.00	198265.00		809	481	198	"1,488"
2014.00	0.00	2627.00	191507.00	11090.00	67589.00	6638.00	4350.00	20953.00	2803.00	70061.00	116247.00	21478.00	12297.00	97.00	527737.00		2014.00	101.00	139642.00	180228.00	27163.00	34126.00	33810.00	4309.00	2116.00	2071.00	6326.00	31700.00	5773.00	21319.00	7634.00	496318.00		2014.00	0.00	0.00	1062.00	29827.00	14180.00	112092.00	4199.00	12528.00	15772.00	11053.00	5520.00	10017.00	52555.00	1946.00	270751.00		528	496	271	"1,295"
2015.00	0.00	4185.00	111328.00	5628.00	218363.00	242.00	42871.00	59189.00	19761.00	173610.00	108136.00	24111.00	24877.00	8230.00	800530.00		2015.00	302.00	133374.00	192138.00	30185.00	22844.00	28000.00	8177.00	3692.00	3564.00	7475.00	57459.00	9780.00	19189.00	6605.00	522784.00		2015.00	0.00	0.00	1483.00	37112.00	14740.00	152184.00	10832.00	11131.00	15379.00	10385.00	4655.00	3585.00	5492.00	1082.00	268061.00		801	523	268	"1,591"
