Total Pink Salmon adult biomass																	Total Chum Salmon adult biomass																	Total Sockeye Salmon adult biomass																				
																																																			Supplementary Table 16. Adult biomass (catch and escapement in thousands of metric tons) of each species across the Pacific Rim 1952-2015.			
Supplementary Table 13. Biomass (catch and escapement in metric tons) of total Pink Salmon returning  to regions of Asia and North America 1952-2015.																	Supplementary Table 14. Biomass (catch and escapement in metric ton) of total  Chum Salmon returning to regions of Asia and North America 1952-2015.																	Supplementary Table 15. Biomass (catch and escapement in metric tons) of total  Sockeye Salmon returning  to regions of Asia and North America 1952-2015.																				
																																																						
Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WC	TOTAL		Pink	Chum	Sockeye	Total
1963.00	0.00	3537.00	63764.00	59421.00	81739.00	469.00	11313.00	13113.00	1110.00	15795.00	42769.00	29470.00	15853.00	17714.00	356068.00		1963.00	0.00	18184.00	93790.00	5957.00	16226.00	11780.00	5123.00	2158.00	5198.00	4538.00	10357.00	12602.00	9468.00	2869.00	198251.00		1963.00	0.00	0.00	944.00	14920.00	11210.00	21295.00	2431.00	3282.00	4391.00	2506.00	2259.00	15516.00	15287.00	815.00	94857.00		356	198	95	649
1964.00	0.00	3684.00	31768.00	6775.00	34994.00	5066.00	11779.00	22797.00	13655.00	14677.00	45411.00	30138.00	3494.00	0.00	224239.00		1964.00	0.00	21916.00	96660.00	7045.00	12396.00	17478.00	7470.00	6066.00	11810.00	3097.00	13962.00	20318.00	11561.00	3057.00	232837.00		1964.00	0.00	0.00	666.00	4821.00	14273.00	30009.00	2380.00	3668.00	4475.00	3663.00	3362.00	17571.00	10694.00	315.00	95897.00		224	233	96	553
1965.00	0.00	2760.00	114410.00	22114.00	63270.00	170.00	8757.00	7023.00	664.00	8171.00	31406.00	18471.00	32506.00	3229.00	312951.00		1965.00	0.00	24350.00	98922.00	6038.00	7648.00	13490.00	3559.00	2615.00	3521.00	1460.00	12313.00	7771.00	4314.00	2101.00	188103.00		1965.00	0.00	0.00	819.00	10372.00	11364.00	125913.00	3035.00	3102.00	6152.00	4355.00	4022.00	6751.00	10973.00	618.00	187476.00		313	188	187	689
1966.00	0.00	2677.00	67475.00	1283.00	32330.00	8139.00	5117.00	23136.00	9464.00	11713.00	59807.00	39875.00	11995.00	0.00	273011.00		1966.00	0.00	23094.00	106651.00	6079.00	8567.00	14972.00	4752.00	4019.00	5818.00	2565.00	20555.00	19206.00	9414.00	3696.00	229386.00		1966.00	0.00	0.00	898.00	8445.00	16755.00	58435.00	2278.00	4547.00	7947.00	5208.00	4344.00	9361.00	21201.00	950.00	140369.00		273	229	140	643
1967.00	0.00	5394.00	131777.00	25477.00	65745.00	408.00	2411.00	1246.00	2001.00	9933.00	12732.00	8201.00	14143.00	2537.00	282005.00		1967.00	0.00	26878.00	90764.00	2441.00	10339.00	13556.00	2474.00	1333.00	4024.00	2042.00	17672.00	12246.00	7317.00	2790.00	193877.00		1967.00	0.00	0.00	1120.00	11126.00	21646.00	36126.00	2875.00	3091.00	6367.00	3149.00	3718.00	12066.00	20909.00	1266.00	123460.00		282	194	123	599
1968.00	0.00	3666.00	72416.00	2480.00	25194.00	12841.00	7186.00	18088.00	9454.00	8769.00	50052.00	40369.00	9038.00	0.00	259553.00		1968.00	0.00	17390.00	58629.00	2253.00	6105.00	13991.00	3637.00	3239.00	9836.00	1839.00	19271.00	24511.00	22444.00	2911.00	186057.00		1968.00	0.00	0.00	782.00	2545.00	18517.00	26149.00	5145.00	5323.00	5538.00	3876.00	3535.00	23665.00	28417.00	555.00	124047.00		260	186	124	570
1969.00	0.00	4483.00	166997.00	18126.00	54503.00	1086.00	12730.00	26921.00	1222.00	11269.00	22035.00	9579.00	29175.00	1165.00	359290.00		1969.00	0.00	26579.00	40182.00	3052.00	7281.00	13248.00	1948.00	2131.00	3388.00	1804.00	6029.00	7973.00	14488.00	1894.00	129997.00		1969.00	0.00	0.00	679.00	1970.00	17328.00	56206.00	2858.00	4486.00	3844.00	4950.00	2856.00	8091.00	15578.00	988.00	119834.00		359	130	120	609
1970.00	0.00	7160.00	45174.00	768.00	35460.00	3202.00	8643.00	26703.00	3747.00	9461.00	31799.00	31375.00	8665.00	0.00	212157.00		1970.00	0.00	30523.00	73138.00	6507.00	6762.00	19465.00	5526.00	3157.00	7331.00	1146.00	17420.00	17941.00	26008.00	3170.00	218094.00		1970.00	0.00	0.00	684.00	3016.00	16855.00	108853.00	7053.00	5897.00	3985.00	5716.00	2592.00	6669.00	25819.00	893.00	188033.00		212	218	188	618
1971.00	0.00	9662.00	144381.00	19357.00	43022.00	158.00	5996.00	9208.00	1761.00	17475.00	31538.00	11768.00	20911.00	2557.00	317793.00		1971.00	0.00	44394.00	57220.00	2170.00	5260.00	17384.00	7410.00	5613.00	4103.00	2576.00	16324.00	9356.00	8656.00	1507.00	181972.00		1971.00	0.00	0.00	593.00	5191.00	10927.00	53529.00	6770.00	4208.00	3842.00	4148.00	2416.00	10958.00	77311.00	1890.00	181782.00		318	182	182	682
1972.00	0.00	2355.00	83480.00	4043.00	18485.00	836.00	619.00	7321.00	3357.00	3702.00	29541.00	31126.00	2342.00	0.00	187208.00		1972.00	0.00	42635.00	62809.00	1767.00	6699.00	16777.00	3362.00	5132.00	6141.00	2204.00	21856.00	20090.00	44371.00	4231.00	238076.00		1972.00	0.00	0.00	572.00	5003.00	10503.00	22020.00	2927.00	2814.00	4714.00	4911.00	2037.00	8687.00	20051.00	1351.00	85589.00		187	238	86	511
